Tipo_Nota,Formato,Chave_NFSe,Numero_NFSe,Serie_RPS,Data_Emissao,Data_Competencia,Municipio_Prestacao,cTribNac,xDescServ,cNBS_DPS,Cod_Servico_Mun,Desc_Servico,Cod_Item_Lei116,Cod_NBS,ISS_Retido,BC_ISS,Aliq_ISS,Valor_ISS,pAliq_ISS,tpRetISSQN,BC_CSRF,Valor_PIS,Valor_COFINS,Valor_CSLL,BC_IRRF,Valor_IRRF,BC_INSS,Valor_INSS,pTotTribSN,IBS_vBC,IBS_pIBSUF,IBS_pIBSMun,CBS_pCBS,Valor_Bruto,Valor_Liquido,Discriminacao,CNPJ_Prestador,IM_Prestador,Nome_Prestador,NomeFantasia_Prestador,UF_Prestador,Mun_Prestador,Email_Prestador,Simples_Nacional,CNPJ_Tomador,IM_Tomador,Nome_Tomador,Mun_Tomador,UF_Tomador,Email_Tomador,Arquivo_Origem
NFS-e,NFSe Nacional,52087071238122691000179000000000000626021771623065,6,00001,2026-02-20T00:00:00-03:00,2026-02-20,GOIÂNIA,170301,"Prestacao de servicos conforme contrato - 1 x 33.092,60 = 33.092,60",114012900,,"Planejamento, coordenação, programação ou organização técnica.",,1.1401.29.00-Serviços de gestão não classificados em subposições anteriores,2,33092.60,2.01,665.16,2.01,2,33092.60,,,,,,,,,,,,,33092.60,32427.44,"Prestacao de servicos conforme contrato - 1 x 33.092,60 = 33.092,60",38122691000179,5153549,MIND7 INOVACAO E INTELIGENCIA COMPETITIVA LTDA,MIND7 INOVACAO,GO,GOIÂNIA,mind7inovacao@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA.,GOIÂNIA,,gcon@gestaosian.com.br,000000000000626021771623065 - MIND7 INOVACAO E INTELIGENCIA CO.xml
NFS-e,NFSe Nacional,52087071239491526000157000000000000626021772208134,6,70002,2026-02-27T16:02:12-03:00,2026-02-27,GOIÂNIA,170101,"PRESTAÇÃO DE SERVIÇOS CONFORME CONTRATO REFERENTE AO MES DE FEVEREIRO 2026  RETENÇÕES FEDERAIS: PIS/COFINS/CSLL (4,65%) R$ 2.051,16 IR (1,5%) R$ 661,67",114011100,,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista.",,1.1401.11.00-Serviços de consultoria em gestão estratégica,2,47968.00,5.00,2398.40,5.00,2,47968.00,,,,,,,,,,,,,47968.00,42619.57,"PRESTAÇÃO DE SERVIÇOS CONFORME CONTRATO REFERENTE AO MES DE FEVEREIRO 2026  RETENÇÕES FEDERAIS: PIS/COFINS/CSLL (4,65%) R$ 2.051,16 IR (1,5%) R$ 661,67",39491526000157,5205859,DIGITAL PEOPLE ESTRATEGIA E INOVACAO LTDA,DIGITAL PEOPLE,GO,GOIÂNIA,digitalpeopleestrategia@gmail.com,1,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000000626021772208134 - DIGITAL PEOPLE ESTRATEGIA E INOV.xml
NFS-e,NFSe Nacional,52087071239491526000157000000000000826021772208506,8,70002,2026-02-27T16:08:26-03:00,2026-02-27,GOIÂNIA,170101,"PRESTAÇÃO DE SERVIÇOS CONFORME CONTRATO REFERENTE AO MES DE FEVEREIRO 2026  RETENÇÕES FEDERAIS: PIS/COFINS/CSLL (4,65%) R$ 2.230,51 IR (1,5%) R$ 719,52",114011100,,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista.",,1.1401.11.00-Serviços de consultoria em gestão estratégica,2,47968.00,5.00,2398.40,5.00,2,47968.00,,,,,,,,,,,,,47968.00,42619.57,"PRESTAÇÃO DE SERVIÇOS CONFORME CONTRATO REFERENTE AO MES DE FEVEREIRO 2026  RETENÇÕES FEDERAIS: PIS/COFINS/CSLL (4,65%) R$ 2.230,51 IR (1,5%) R$ 719,52",39491526000157,5205859,DIGITAL PEOPLE ESTRATEGIA E INOVACAO LTDA,DIGITAL PEOPLE,GO,GOIÂNIA,digitalpeopleestrategia@gmail.com,1,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000000826021772208506 - DIGITAL PEOPLE ESTRATEGIA E INOV.xml
NFS-e,NFSe Nacional,52087071239838497000157000000000000926021771574977,9,70002,2026-02-20T08:09:37-03:00,2026-02-20,GOIÂNIA,170301,Serviços de apoio administrativo ref 02/2026,114012900,,"Planejamento, coordenação, programação ou organização técnica.",,1.1401.29.00-Serviços de gestão não classificados em subposições anteriores,2,12980.14,2.00,259.60,2.00,2,12980.14,,,,,,,,,,,,,12980.14,12720.54,Serviços de apoio administrativo ref 02/2026,39838497000157,5233631,BUSINESS VALUE LTDA,BV CONSULTORIA EMPRESARIAL,GO,GOIÂNIA,businessvalue.one@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000000926021771574977 - BUSINESS VALUE LTDA.xml
NFS-e,NFSe Nacional,52087071229088396000152000000000001326021770828467,13,70002,2026-02-11T16:47:49-03:00,2026-02-11,GOIÂNIA,140101,"Contrato, referente ao mês de Fevereiro de 2026",120018900,,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).",,1.2001.89.00-Serviços de manutenção e reparação de outros maquinários e equipamentos não classificados em subposições anteriores,2,3945.00,2.01,79.29,2.01,2,3945.00,,,,,,,,,,,,,3945.00,3865.71,"Contrato, referente ao mês de Fevereiro de 2026",29088396000152,4503244,SOFTTEMP AR CONDICIONADOS LTDA,SOFTTEMP AR CONDICIONADOS,GO,GOIÂNIA,softtemp.atendimento@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000001326021770828467 - SOFTTEMP AR CONDICIONADOS LTDA.xml
NFS-e,NFSe Nacional,52014052248753547000194000000000001326023984793466,13,70000,2026-02-27T20:12:59-03:00,2026-02-27,Goiânia,071102,PRESTAÇÃO DE SERVIÇO CONFORME PEDIDO 049749,,,"Jardinagem, inclusive corte e poda de árvores.",,,1,,,,,1,6000.00,,,,,,,,,,,,,6000.00,6000.00,PRESTAÇÃO DE SERVIÇO CONFORME PEDIDO 049749,48753547000194,,JOSE HERMES GONCALVES 88871061187,,GO,Aparecida de Goiânia,JOSEHERMESHP@GMAIL.COM,2,01082569000106,,HP MOBILIDADE LTDA.,Goiânia,,,000000000001326023984793466 - JOSE HERMES GONCALVES 8887106118.xml
NFS-e,NFSe Nacional,52087071211770819000154000000000001626021770461402,16,70002,2026-02-07T10:50:07-03:00,2026-02-07,GOIÂNIA,170101,Servicos de Consultoria em Gestao Empresarial,114011100,,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista.",,1.1401.11.00-Serviços de consultoria em gestão estratégica,2,1450.00,5.00,72.50,5.00,2,1450.00,,,,,,,,,,,,,1450.00,1288.32,Servicos de Consultoria em Gestao Empresarial,11770819000154,2794454,VPX SOLUTIONS REPRESENTACAO E CONSULTORIA LTDA,VPX SOLUTIONS,GO,GOIÂNIA,vhp@vpx.inf.br,1,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000001626021770461402 - VPX SOLUTIONS REPRESENTACAO E CO.xml
NFS-e,CompNFe,52087071217735661000168000000000001626021770719340,16,70002,2026-02-10T10:29:04,2026-02-10,GOIANIA,,,,171701,Análise de Organização e Métodos,17.17,118069000,1,16500.00,4.2300,697.95,,,16500.00,0,0,0,16500.00,0,16500.00,0,,,,,,16500.00,15802.05,"ELABORACAO DE DOCUMENTO TECNICO - ANALISE ERGONOMICA DO TRABALHO (NR-17), RELATORIO PARA APOIO ADMINISTRATIVO-LEGAL AO GRO/PGR DA CONTRATANTE.  PEDIDO DE COMPRA: 047716",17735661000168,,MULTISERVICOS INTEGRADOS LTDA,,,GOIANIA,,1,01082569000106,141372,H P TRANSPORTES COLETIVOS LTDA,GOIANIA,GO,,000000000001626021770719340 - MULTISERVICOS INTEGRADOS LTDA.xml
NFS-e,NFSe Nacional,52145072243615292000180000000000001626034048925457,16,70000,2026-03-05T14:14:20-03:00,2026-03-05,Nerópolis,170301,ELABORAÇÃO DE PROJETO DE PREVENÇÃO E COMBATE A INCENDIO,,,"Planejamento, coordenação, programação ou organização técnica.",,,1,,,,,1,6000.00,,,,,,,,,,,,,6000.00,6000.00,ELABORAÇÃO DE PROJETO DE PREVENÇÃO E COMBATE A INCENDIO,43615292000180,,PROJETT ENGENHARIA E SERVICOS LTDA,,GO,Nerópolis,PROJETTENGENHARIA@OUTLOOK.COM,3,01082569000106,,HP MOBILIDADE LTDA.,Nerópolis,,,000000000001626034048925457 - PROJETT ENGENHARIA E SERVICOS LT.xml
NFS-e,NFSe Nacional,52087071222908619000131000000000002626021770740488,26,70002,2026-02-10T16:21:25-03:00,2026-02-10,GOIÂNIA,070101,SERVIÇO DE ARQUITETURA REFERENTE AO ADMINISTRATIVO PARCELA 2 DE 2 pix:  pixarchbr.itau@gmail.com,114021300,,Engenharia e congêneres.,,1.1402.13.00-Serviços de arquitetura para projetos de construções não residenciais,2,2500.00,2.01,50.25,2.01,2,2500.00,,,,,,,,,,,,,2500.00,2449.75,SERVIÇO DE ARQUITETURA REFERENTE AO ADMINISTRATIVO PARCELA 2 DE 2 pix:  pixarchbr.itau@gmail.com,22908619000131,4058690,RUBER PAULO ARQUITETURA E URBANISMO LTDA,ARCHBR,GO,GOIÂNIA,arquitetoruberpaulo@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,leonardo.medrado@hpmobilidade.com.br,000000000002626021770740488 - RUBER PAULO ARQUITETURA E URBANI.xml
NFS-e,NFSe Nacional,52087071222908619000131000000000002726021770740570,27,70002,2026-02-10T16:22:53-03:00,2026-02-10,GOIÂNIA,070101,SERVIÇO DE ARQUITETURA REFERENTE AOS VESTIÁRIOS PARCELA 2 DE 2 pix:  pixarchbr.itau@gmail.com,114021300,,Engenharia e congêneres.,,1.1402.13.00-Serviços de arquitetura para projetos de construções não residenciais,2,3000.00,2.01,60.30,2.01,2,3000.00,,,,,,,,,,,,,3000.00,2939.70,SERVIÇO DE ARQUITETURA REFERENTE AOS VESTIÁRIOS PARCELA 2 DE 2 pix:  pixarchbr.itau@gmail.com,22908619000131,4058690,RUBER PAULO ARQUITETURA E URBANISMO LTDA,ARCHBR,GO,GOIÂNIA,arquitetoruberpaulo@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,leonardo.medrado@hpmobilidade.com.br,000000000002726021770740570 - RUBER PAULO ARQUITETURA E URBANI.xml
NFS-e,NFSe Nacional,52087071222908619000131000000000002826021770740612,28,70002,2026-02-10T16:23:36-03:00,2026-02-10,GOIÂNIA,070101,SERVIÇO DE ARQUITETURA REFERENTE À COPA PARCELA 2 DE 2 pix:  pixarchbr.itau@gmail.com,114021300,,Engenharia e congêneres.,,1.1402.13.00-Serviços de arquitetura para projetos de construções não residenciais,2,2500.00,2.01,50.25,2.01,2,2500.00,,,,,,,,,,,,,2500.00,2449.75,SERVIÇO DE ARQUITETURA REFERENTE À COPA PARCELA 2 DE 2 pix:  pixarchbr.itau@gmail.com,22908619000131,4058690,RUBER PAULO ARQUITETURA E URBANISMO LTDA,ARCHBR,GO,GOIÂNIA,arquitetoruberpaulo@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,leonardo.medrado@hpmobilidade.com.br,000000000002826021770740612 - RUBER PAULO ARQUITETURA E URBANI.xml
NFS-e,NFSe Nacional,52087071222908619000131000000000002926021770740659,29,70002,2026-02-10T16:24:15-03:00,2026-02-10,GOIÂNIA,070101,SERVIÇO DE ARQUITETURA REFERENTE À SALA DIRETORIA MAAS PARCELA 2 DE 2 pix:  pixarchbr.itau@gmail.com,114021300,,Engenharia e congêneres.,,1.1402.13.00-Serviços de arquitetura para projetos de construções não residenciais,2,2750.00,2.01,55.28,2.01,2,2750.00,,,,,,,,,,,,,2750.00,2694.72,SERVIÇO DE ARQUITETURA REFERENTE À SALA DIRETORIA MAAS PARCELA 2 DE 2 pix:  pixarchbr.itau@gmail.com,22908619000131,4058690,RUBER PAULO ARQUITETURA E URBANISMO LTDA,ARCHBR,GO,GOIÂNIA,arquitetoruberpaulo@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,leonardo.medrado@hpmobilidade.com.br,000000000002926021770740659 - RUBER PAULO ARQUITETURA E URBANI.xml
NFS-e,NFSe Nacional,52087071207069279000109000000000003426021772011104,34,70002,2026-02-25T09:18:28-03:00,2026-02-25,GOIÂNIA,130401,41 Impressoes color tamanho A4 41 Plastificaçao tamanho A4 Pedido de Compras 049056 /1,118065100,,"Reprografia, microfilmagem e digitalização.",,1.1806.51.00-Serviços de fotocópias e outros serviços de reprodução de documentos,2,328.00,2.00,6.56,2.00,2,328.00,,,,,,,,,,,,,328.00,321.44,41 Impressoes color tamanho A4 41 Plastificaçao tamanho A4 Pedido de Compras 049056 /1,07069279000109,2144247,STYLUS COPIADORA LTDA,STYLUS COPIADORA,GO,GOIÂNIA,styluscopiadora@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000003426021772011104 - STYLUS COPIADORA LTDA.xml
NFS-e,NFSe Nacional,52087072222681966000174000000000005126032796740240,51,70000,2026-03-02T15:36:47-03:00,2026-03-02,Goiânia,150603,Prestação de serviços conforme contrato,,,"Coleta e entrega de documentos, bens e valores.",,,1,,,,,1,4824.82,,,,,,,,,,,,,4824.82,4824.82,Prestação de serviços conforme contrato,22681966000174,,22.681.966 LEVY DE FARIA FILHO,,GO,Goiânia,FARIALEVY3@GMAIL.COM,2,01082569000106,,HP MOBILIDADE LTDA.,Goiânia,,,000000000005126032796740240 - 22.681.966 LEVY DE FARIA FILHO.xml
NFS-e,NFSe Nacional,52087071245998241000100000000000007126021770625618,71,70002,2026-02-09T08:26:52-03:00,2026-02-09,GOIÂNIA,140101,01-soldas interecooler pedido-47657,120013110,,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).",,1.2001.31.10-Serviços de manutenção e reparação de veículos rodoviários motorizados,2,250.00,5.00,12.50,5.00,2,250.00,,,,,,,,,,,,,250.00,237.50,01-soldas interecooler pedido-47657,45998241000100,5690188,TC RADIADORES E COMERCIO DE PECAS LTDA,UNIVERSO RADIADORES,GO,GOIÂNIA,universoradiadores@hotmail.com,1,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000007126021770625618 - TC RADIADORES E COMERCIO DE PECA.xml
NFS-e,NFSe Nacional,52087071228606224000160000000000007126021771603140,71,70002,2026-02-20T15:59:07-03:00,2026-02-20,GOIÂNIA,140101,"01 SERVICO DE MOLA Valor Unit.: 27.000,00 Valor Total: 27.000,00",120013110,,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).",,1.2001.31.10-Serviços de manutenção e reparação de veículos rodoviários motorizados,2,27000.00,3.29,888.30,3.29,2,27000.00,,,,,,,,,,,,,27000.00,26111.70,"01 SERVICO DE MOLA Valor Unit.: 27.000,00 Valor Total: 27.000,00",28606224000160,4479238,CERRADO COMERCIO DE PECAS E SERVICOS LTDA,CERRADO SUPER TRUCKS,GO,GOIÂNIA,contato@foccocontabilidades.com.br,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000007126021771603140 - CERRADO COMERCIO DE PECAS E SERV.xml
NFS-e,NFSe Nacional,52087071204554525000120000000000009926021770626477,99,70002,2026-02-09T08:41:19-03:00,2026-02-09,GOIÂNIA,130501,"02 un. adesivos (Aparecida laranja lateral 2,0 x 0,40m) 02 un. adesivos (Logo RMTC colorido 3 cores) 03 un. adesivos (Aparecida laranja traseira 1,0 x 0,20m) 01 un. confecção corte eletrônico em acríl",121012100,,"Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.",,1.2101.21.00-Serviços de impressão,2,1460.00,2.51,36.65,2.51,2,1460.00,,,,,,,,,,,,,1460.00,1423.35,"02 un. adesivos (Aparecida laranja lateral 2,0 x 0,40m) 02 un. adesivos (Logo RMTC colorido 3 cores) 03 un. adesivos (Aparecida laranja traseira 1,0 x 0,20m) 01 un. confecção corte eletrônico em acríl",04554525000120,1935313,DIVULG LETREIROS LTDA,,GO,GOIÂNIA,divulgdigital@gmail.com,3,01082569000106,141372,HP MOBILIDADE LTDA,GOIÂNIA,,gcon@gestaosian.com.br,000000000009926021770626477 - DIVULG LETREIROS LTDA.xml
